R,T
-1.389733,1.390230
-1.370971,1.371520
-1.350379,1.350987
-1.327818,1.328490
-1.303149,1.303893
-1.276241,1.277064
-1.246975,1.247885
-1.215253,1.216261
-1.181008,1.182123
-1.144211,1.145444
-1.104885,1.106249
-1.063114,1.064622
-1.019052,1.020721
-0.972931,0.974778
-0.925062,0.927104
-0.875826,0.878086
-0.825669,0.828169
-0.775079,0.777845
-0.724566,0.727626
-0.674635,0.678020
-0.625759,0.629504
-0.578364,0.582507
-0.532806,0.537389
-0.489366,0.494436
-0.448246,0.453856
-0.409574,0.415779
-0.373408,0.380273
-0.339748,0.347343
-0.308548,0.316950
-0.279725,0.289020
-0.253168,0.263451
-0.228748,0.240124
-0.206326,0.218911
-0.185757,0.199680
-0.166895,0.182298
-0.149595,0.166634
-0.133715,0.152566
-0.119123,0.139977
-0.105688,0.128758
-0.093288,0.118810
-0.081809,0.110043
-0.071141,0.102376
-0.061182,0.095736
-0.051835,0.090060
-0.043007,0.085295
-0.034612,0.081392
-0.026565,0.078316
-0.018786,0.076034
-0.011196,0.074526
-0.003719,0.073775
0.003719,0.073775
0.011196,0.074526
0.018786,0.076034
0.026565,0.078316
0.034612,0.081392
0.043007,0.085295
0.051835,0.090060
0.061182,0.095736
0.071141,0.102376
0.081809,0.110043
0.093288,0.118810
0.105688,0.128758
0.119123,0.139977
0.133715,0.152566
0.149595,0.166634
0.166895,0.182298
0.185757,0.199680
0.206326,0.218911
0.228748,0.240124
0.253168,0.263451
0.279725,0.289020
0.308548,0.316950
0.339748,0.347343
0.373408,0.380273
0.409574,0.415779
0.448246,0.453856
0.489366,0.494436
0.532806,0.537389
0.578364,0.582507
0.625759,0.629504
0.674635,0.678020
0.724566,0.727626
0.775079,0.777845
0.825669,0.828169
0.875826,0.878086
0.925062,0.927104
0.972931,0.974778
1.019052,1.020721
1.063114,1.064622
1.104885,1.106249
1.144211,1.145444
1.181008,1.182123
1.215253,1.216261
1.246975,1.247885
1.276241,1.277064
1.303149,1.303893
1.327818,1.328490
1.350379,1.350987
1.370971,1.371520
1.389733,1.390230
